	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
209000000	173000000	176000000	186000000	182000000	186000000	216000000	234000000	229000000	223000000	196000000	206000000	209000000	173000000
205000000	171000000	173000000	183000000	181000000	183000000	216000000	236000000	229000000	222000000	195000000	206000000	205000000	171000000
200000000	167000000	172000000	181000000	181000000	179000000	214000000	239000000	231000000	221000000	194000000	206000000	200000000	167000000
195000000	163000000	170000000	178000000	179000000	175000000	213000000	241000000	232000000	221000000	193000000	206000000	195000000	163000000
191000000	159000000	168000000	176000000	178000000	171000000	210000000	243000000	233000000	220000000	192000000	206000000	191000000	159000000
189000000	158000000	167000000	174000000	175000000	167000000	208000000	246000000	234000000	220000000	192000000	207000000	189000000	158000000
188000000	159000000	167000000	173000000	173000000	162000000	204000000	247000000	236000000	219000000	193000000	207000000	188000000	159000000
186000000	158000000	166000000	173000000	171000000	158000000	200000000	248000000	236000000	219000000	194000000	205000000	186000000	158000000
186000000	159000000	168000000	176000000	170000000	154000000	195000000	247000000	237000000	219000000	194000000	203000000	186000000	159000000
187000000	160000000	172000000	175000000	172000000	149000000	189000000	248000000	237000000	217000000	195000000	204000000	187000000	160000000
188000000	160000000	175000000	173000000	174000000	145000000	182000000	246000000	238000000	215000000	198000000	203000000	188000000	160000000
188000000	160000000	178000000	168000000	175000000	141000000	175000000	242000000	237000000	213000000	200000000	202000000	188000000	160000000
186000000	161000000	179000000	164000000	175000000	139000000	167000000	237000000	235000000	211000000	202000000	202000000	186000000	161000000
185000000	161000000	178000000	159000000	174000000	136000000	160000000	229000000	232000000	206000000	204000000	202000000	185000000	161000000
185000000	162000000	176000000	155000000	171000000	134000000	153000000	220000000	228000000	201000000	206000000	201000000	185000000	162000000
185000000	161000000	174000000	151000000	170000000	131000000	146000000	209000000	224000000	196000000	208000000	200000000	185000000	161000000
183000000	160000000	171000000	148000000	170000000	129000000	140000000	198000000	219000000	192000000	206000000	198000000	183000000	160000000
180000000	158000000	166000000	145000000	168000000	128000000	135000000	187000000	215000000	187000000	201000000	195000000	180000000	158000000
177000000	156000000	161000000	142000000	162000000	126000000	131000000	176000000	211000000	183000000	199000000	192000000	177000000	156000000
172000000	153000000	159000000	139000000	157000000	123000000	127000000	164000000	207000000	183000000	202000000	187000000	172000000	153000000
167000000	151000000	158000000	136000000	154000000	121000000	123000000	154000000	202000000	182000000	204000000	182000000	167000000	151000000
162000000	150000000	158000000	133000000	153000000	119000000	119000000	145000000	197000000	180000000	203000000	177000000	162000000	150000000
156000000	150000000	157000000	133000000	156000000	119000000	117000000	137000000	192000000	180000000	201000000	173000000	156000000	150000000
150000000	150000000	157000000	134000000	160000000	118000000	114000000	131000000	186000000	184000000	200000000	172000000	150000000	150000000
147000000	148000000	158000000	134000000	161000000	118000000	111000000	126000000	182000000	187000000	199000000	171000000	147000000	148000000
146000000	149000000	158000000	133000000	159000000	118000000	109000000	123000000	177000000	190000000	199000000	169000000	146000000	149000000
144000000	150000000	157000000	133000000	157000000	119000000	107000000	121000000	174000000	190000000	198000000	169000000	144000000	150000000
141000000	152000000	155000000	134000000	157000000	121000000	107000000	121000000	172000000	189000000	197000000	167000000	141000000	152000000
137000000	152000000	153000000	137000000	158000000	123000000	108000000	120000000	173000000	191000000	196000000	163000000	137000000	152000000
134000000	151000000	151000000	139000000	162000000	125000000	109000000	120000000	174000000	194000000	195000000	160000000	134000000	151000000
133000000	151000000	149000000	142000000	167000000	128000000	110000000	120000000	173000000	197000000	192000000	156000000	133000000	151000000
130000000	148000000	145000000	142000000	168000000	130000000	110000000	120000000	174000000	199000000	187000000	151000000	130000000	148000000
128000000	146000000	142000000	142000000	165000000	130000000	109000000	119000000	173000000	200000000	182000000	148000000	128000000	146000000
128000000	145000000	139000000	143000000	163000000	129000000	109000000	119000000	174000000	202000000	177000000	146000000	128000000	145000000
130000000	144000000	139000000	144000000	161000000	129000000	109000000	120000000	175000000	205000000	173000000	146000000	130000000	144000000
131000000	145000000	140000000	146000000	158000000	131000000	109000000	121000000	174000000	207000000	169000000	147000000	131000000	145000000
133000000	147000000	143000000	147000000	156000000	132000000	109000000	121000000	173000000	209000000	166000000	147000000	133000000	147000000
133000000	149000000	147000000	148000000	152000000	133000000	111000000	122000000	173000000	212000000	163000000	147000000	133000000	149000000
133000000	151000000	151000000	150000000	149000000	134000000	112000000	121000000	174000000	216000000	163000000	146000000	133000000	151000000
134000000	153000000	155000000	151000000	147000000	134000000	113000000	121000000	174000000	219000000	163000000	146000000	134000000	153000000
