Nip	NiOp	NiO2p	NiN2p	Alt	Geometric Mean	Geometric STD	STD -	STD +						
WACCM	WACCM	WACCM	WACCM	WACCM	ROCKET	ROCKET	ROCKET	ROCKET						
0	0	0	0	50	1	1	1	1						
0	0	0	0	52	1	2	1	1						
0	0	0	0	54	1	3	1	1						
0	0	0	0	56	1	4	1	1						
0	0	0	0	58	1	5	1	1						
0	0	0	0	60	1	6	1	1						
0	0	0	0	62	1	7	1	1						
0	0	0	0	64	1	8	1	1						
0	0	0	0	66	1	9	1	1						
0	0	0	0	68	1	10	1	1						
0	0	0	0	70	1	11	1	1						
0	0	0	0.00888888888888889	72	1	12	1	1						
0.00333333333333333	0.00222222222222222	0.00333333333333333	0.0266666666666667	74	1	13	1	1						
0.0955555555555555	0.03	0.0177777777777778	0.116666666666667	76	1	14	1	1						
0.434444444444445	0.0766666666666666	0.0444444444444445	0.241111111111111	78	1	15	1	1						
2.76222222222222	0.192222222222222	0.101111111111111	0.494444444444445	80	1	16	1	1						
11.7311111111111	0.291111111111111	0.141111111111111	0.637777777777777	82	1	17	1	1						
25.2144444444444	0.336666666666667	0.127777777777778	0.635555555555556	84	1	18	1	1						
44.7622222222222	0.32	0.0977777777777776	0.494444444444445	86	1	19	1	1						
67.4333333333333	0.278888888888889	0.0844444444444443	0.344444444444444	88	1	20	1	1						
83.4933333333333	0.227777777777778	0.0355555555555556	0.223333333333333	90	1	21	1	1						
94.2711111111111	0.176666666666666	0	0.14	92	1	22	1	1						
95.1933333333334	0.113333333333333	0	0.0899999999999999	94	1	23	1	1						
87.3555555555556	0.0822222222222221	0	0.0322222222222222	96	1	24	1	1						
74.3477777777778	0.0411111111111111	0	0	98	1	25	1	1						
58.0455555555556	0	0	0	100	1	26	1	1						
42.0833333333333	0	0	0	102	1	27	1	1						
28.8022222222222	0	0	0	104	1	28	1	1						
18.6111111111111	0	0	0	106	1	29	1	1						
11.9322222222222	0	0	0	108	1	30	1	1						
7.58777777777778	0	0	0	110	1	31	1	1						
4.83666666666667	0	0	0	112	1	32	1	1						
3.08777777777778	0	0	0	114	1	33	1	1						
1.97555555555556	0	0	0	116	1	34	1	1						
1.32777777777778	0	0	0	118	1	35	1	1						
0.914444444444445	0	0	0	120	1	36	1	1						
0.618888888888889	0	0	0	122	1	37	1	1						
0.443333333333333	0	0	0	124	1	38	1	1						
0.332222222222222	0	0	0	126	1	39	1	1						
0.237777777777778	0	0	0	128	1	40	1	1						
0.178888888888889	0	0	0	130	1	41	1	1						
0.122222222222222	0	0	0	132	1	42	1	1						
0.104444444444444	0	0	0	134	1	43	1	1						
0.0988888888888887	0	0	0	136	1	44	1	1						
0.0622222222222222	0	0	0	138	1	45	1	1						
0.0244444444444445	0	0	0	140	1	46	1	1						
					1	47	1	1						
					1	48	1	1						
					1	49	1	1						
					1	50	1	1						
					1	51	1	1						
					1	52	1	1						
					1	53	1	1						
					1	54	1	1						
					1	55	1	1						
					1	56	1	1						
					1	57	1	1						
					1	58	1	1						
					1	59	1	1						
					1	60	1	1						
					387.941917	61	560.99711441988	685.58806258012						
					352.232792	62	502.988845302009	619.101706697992						
					316.523666	63	444.980569650609	552.615346349392						
					280.814541	64	386.972293999208	486.128987000793						
					289.688449844871	65	328.964018347806	464.225661497065						
					243.00443525042	66	270.955749229935	386.764416020485						
					196.200736323405	67	212.947473578534	309.183482744871						
					149.164735710121	68	154.939197927134	231.370247782988						
					105.171578433352	69	96.9309222757328	156.599856157619						
					59.5755859487849	70	38.922646624332	80.2266293244529						
					36.1851566775054	71	20.5613370987196	68.8372829923225						
					26.8077089928486	72	19.5585990658761	46.6722153577466						
					22.9467669368493	73	22.0475570303569	34.6444569977504						
					18.2276052621055	74	24.1513779576361	20.8815314253323						
					16.7334547108573	75	21.8624907647674	19.4789868386526						
					16.9135189170212	76	13.5989982689489	28.1873437600204						
					12.3036996520881	77	12.3945739253663	23.5214738033642						
					12.3080869059483	78	6.1333029888847	24.2749128071829						
					12.8221684982803	79	6.7100578885531	24.9682405209593						
					13.236418692144	80	7.0085411455352	25.6931998310229						
					13.5750446857286	81	7.1094318332115	26.4289127800095						
					14.4817717906445	82	9.1210175491686	26.6574784344891						
					14.5812069087912	83	10.3323618068762	25.6917977904241						
					12.8872428495375	84	10.4640961619642	21.3749744524965						
					15.6111169742771	85	4.9226005287571	37.5741501751607						
					19.2548631181539	86	3.2824495206762	44.2883887977382						
					20.2726382312895	87	3.7128980457951	46.372442806135						
					16.2288905873389	88	3.7128980457951	47.5671701320135						
					31.1011257785291	89	7.7801944114281	69.057882848518						
					48.5442442716776	90	8.2831482465863	111.649690720511						
					58.884209336953	91	22.1107191669067	151.302869480452						
					54.5375697751655	92	30	90.5624207895605						
					35.8842061241088	93	13.5233510286826	75.1317490679096						
					66.2322526506714	94	28.108516656197	135.524108387962						
					62.6827081675869	95	15	178.785811087451						
					38.413572449603	96	10.866964786239	84.0371563141928						
					33.3861094534444	97	6.70683380709051	75.7764959128068						
					36.1978966560565	98	3	95.1465957402134						
					20.492706570601	99	2	49.6766926461418						
					37.4021422159539	100	22.8753906627604	69.5299015039294						
					62.2768576668467	101	18	219.505960322543						
					35.5684082528331	102	14	144.745174606901						
					28.9132324410289	103	10	101.738089624568						
					24.4706384314262	104	4	85.5112633994253						
					41.6067790469429	105	7	179.546498758145						
					36.010300712181	106	10	144.467534216103						
					19.4352025485733	107	14.8341819666693	33.1822038074625						
					22.3098928626222	108	6.1292834779509	48.9892749441795						
					18.5111885447857	109	10.8809256397658	34.8525976510625						
