	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec						
475000000	394000000	387000000	431000000	415000000	392000000	390000000	447000000	500000000	507000000	458000000	478000000	475000000	394000000					
476000000	395000000	384000000	429000000	410000000	387000000	386000000	446000000	499000000	506000000	459000000	480000000	476000000	395000000					
479000000	396000000	383000000	428000000	405000000	381000000	382000000	444000000	497000000	503000000	459000000	481000000	479000000	396000000					
482000000	397000000	383000000	426000000	401000000	375000000	378000000	442000000	494000000	501000000	459000000	483000000	482000000	397000000					
485000000	398000000	383000000	424000000	396000000	368000000	375000000	440000000	491000000	499000000	457000000	484000000	485000000	398000000					
489000000	400000000	383000000	423000000	392000000	362000000	372000000	438000000	489000000	499000000	454000000	485000000	489000000	400000000					
494000000	402000000	384000000	421000000	387000000	356000000	369000000	436000000	487000000	499000000	452000000	487000000	494000000	402000000					
498000000	404000000	384000000	420000000	382000000	350000000	364000000	433000000	485000000	500000000	450000000	490000000	498000000	404000000					
503000000	406000000	386000000	418000000	377000000	343000000	359000000	430000000	484000000	502000000	449000000	493000000	503000000	406000000					
508000000	408000000	388000000	417000000	372000000	337000000	353000000	425000000	481000000	504000000	449000000	496000000	508000000	408000000					
513000000	410000000	390000000	415000000	368000000	330000000	345000000	419000000	477000000	507000000	450000000	499000000	513000000	410000000					
518000000	412000000	393000000	414000000	364000000	324000000	336000000	411000000	474000000	510000000	452000000	503000000	518000000	412000000					
522000000	414000000	396000000	412000000	360000000	316000000	327000000	402000000	469000000	512000000	455000000	506000000	522000000	414000000					
527000000	416000000	399000000	411000000	357000000	308000000	316000000	392000000	465000000	514000000	459000000	508000000	527000000	416000000					
532000000	419000000	402000000	410000000	353000000	300000000	304000000	381000000	460000000	516000000	464000000	511000000	532000000	419000000					
538000000	423000000	406000000	410000000	349000000	291000000	291000000	369000000	454000000	517000000	470000000	513000000	538000000	423000000					
543000000	428000000	410000000	409000000	346000000	283000000	278000000	357000000	448000000	520000000	477000000	516000000	543000000	428000000					
548000000	434000000	415000000	409000000	343000000	275000000	263000000	344000000	441000000	523000000	484000000	519000000	548000000	434000000					
554000000	441000000	420000000	411000000	341000000	267000000	248000000	329000000	433000000	525000000	491000000	523000000	554000000	441000000					
559000000	448000000	425000000	413000000	341000000	259000000	233000000	312000000	424000000	527000000	498000000	527000000	559000000	448000000					
565000000	457000000	431000000	417000000	341000000	252000000	218000000	294000000	413000000	529000000	506000000	533000000	565000000	457000000					
572000000	467000000	437000000	421000000	342000000	247000000	203000000	275000000	401000000	534000000	516000000	539000000	572000000	467000000					
578000000	477000000	446000000	427000000	344000000	242000000	189000000	255000000	387000000	539000000	527000000	545000000	578000000	477000000					
585000000	489000000	456000000	433000000	346000000	239000000	176000000	236000000	373000000	544000000	540000000	552000000	585000000	489000000					
590000000	502000000	467000000	439000000	349000000	236000000	163000000	218000000	358000000	549000000	552000000	559000000	590000000	502000000					
595000000	515000000	480000000	444000000	352000000	232000000	153000000	200000000	343000000	552000000	562000000	564000000	595000000	515000000					
600000000	528000000	493000000	448000000	355000000	229000000	143000000	184000000	328000000	553000000	571000000	568000000	600000000	528000000					
604000000	540000000	508000000	453000000	359000000	227000000	135000000	170000000	313000000	554000000	580000000	573000000	604000000	540000000					
608000000	552000000	524000000	457000000	364000000	226000000	127000000	157000000	299000000	554000000	588000000	577000000	608000000	552000000					
610000000	562000000	541000000	461000000	369000000	224000000	121000000	146000000	286000000	557000000	594000000	581000000	610000000	562000000					
613000000	570000000	557000000	465000000	373000000	223000000	116000000	136000000	275000000	561000000	599000000	584000000	613000000	570000000					
615000000	577000000	571000000	467000000	378000000	221000000	112000000	128000000	265000000	566000000	605000000	586000000	615000000	577000000					
618000000	583000000	585000000	468000000	381000000	220000000	109000000	120000000	257000000	571000000	612000000	589000000	618000000	583000000					
621000000	586000000	601000000	468000000	383000000	219000000	106000000	115000000	249000000	573000000	619000000	592000000	621000000	586000000					
626000000	589000000	617000000	467000000	384000000	218000000	103000000	110000000	243000000	575000000	626000000	595000000	626000000	589000000					
630000000	590000000	633000000	469000000	385000000	217000000	101000000	105000000	237000000	576000000	634000000	599000000	630000000	590000000					
635000000	591000000	649000000	471000000	388000000	216000000	98600000	102000000	232000000	575000000	642000000	605000000	635000000	591000000					
639000000	591000000	666000000	475000000	392000000	215000000	96800000	98300000	227000000	573000000	649000000	615000000	639000000	591000000					
643000000	589000000	682000000	479000000	398000000	214000000	95300000	95600000	223000000	570000000	656000000	627000000	643000000	589000000					
645000000	585000000	698000000	483000000	403000000	214000000	94100000	93100000	220000000	567000000	662000000	640000000	645000000	585000000					
645000000	581000000	712000000	488000000	408000000	214000000	93100000	91300000	217000000	566000000	668000000	652000000	645000000	581000000					
649000000	579000000	727000000	492000000	412000000	214000000	92400000	89700000	215000000	567000000	674000000	664000000	649000000	579000000					
653000000	579000000	741000000	497000000	414000000	214000000	92100000	88300000	213000000	568000000	679000000	677000000	653000000	579000000					
658000000	580000000	751000000	504000000	415000000	215000000	91700000	87000000	211000000	569000000	681000000	689000000	658000000	580000000					
660000000	582000000	758000000	510000000	416000000	215000000	91600000	85900000	209000000	569000000	681000000	702000000	660000000	582000000					
659000000	583000000	764000000	515000000	415000000	215000000	91700000	84900000	208000000	567000000	680000000	717000000	659000000	583000000					
657000000	585000000	768000000	519000000	415000000	214000000	91800000	84400000	207000000	564000000	679000000	728000000	657000000	585000000					
658000000	586000000	766000000	522000000	416000000	214000000	92000000	84000000	208000000	561000000	680000000	739000000	658000000	586000000					
660000000	586000000	765000000	524000000	416000000	214000000	92200000	83900000	208000000	559000000	680000000	746000000	660000000	586000000					
